vid_id,tr,en
eyhzdC936uk_15_27@1,köpekle oynayan bir çocuk,a boy playing with dog
eyhzdC936uk_15_27@2,bir adam küçük köpeğiyle çak bir beşlik çalışıyor,a man plays high five with his small dog
eyhzdC936uk_15_27@3,adam eğitimli bir köpekle oynar,man plays with a trained dog
eyhzdC936uk_15_27@4,siyah bir fino köpeği bir adamla beşlik çakıyor,a black poodle is doing high fives with a guy
eyhzdC936uk_15_27@5,siyah bir fino köpeği bir adama beşlik veriyor,a black poodle is giving a man a highfive
eyhzdC936uk_15_27@6,bir çocuk beşlik çakarak köpeğiyle oynuyor,a boy plays hand claps with his dog
eyhzdC936uk_15_27@7,bir köpek duran bir adamın elleri ile pençeleri vurur,a dog hits a man s hands with its paws while standing
eyhzdC936uk_15_27@8,bir köpek bir adama beşlik veriyor,a dog is giving a high five to a man
eyhzdC936uk_15_27@9,köpek bir adama beşlik veriyor,a dog is giving a man a high five
eyhzdC936uk_15_27@10,bir köpek antrenörünün ellerini ön pençeleriyle vurur,a dog pats his trainer s hands with his front paws
eyhzdC936uk_15_27@11,bir adam bir köpekle oynuyor,a guy is playing with a puppy
eyhzdC936uk_15_27@12,küçük bir köpek besleyen bir adam beşlik çakıyor,a man highfiving a small dog
eyhzdC936uk_15_27@13,bir adam ellerini oturan köpeğin pençelerine karşı alkışlıyor,a man is clapping his hands against a sitting dog s paws
eyhzdC936uk_15_27@14,bir adam köpeğine eğitim veriyor,a man is giving a training to his dog
eyhzdC936uk_15_27@15,bir adam köpeğiyle bir alkış oyunu oynuyor,a man is playing a game of patacake with his dog
eyhzdC936uk_15_27@16,bir adam küçük siyah bir köpekle alkış oyunu oynuyor,a man is playing patacake with a small black dog
eyhzdC936uk_15_27@17,bir adam köpeği ile alkış oyunu oynuyor,a man is playing pattycake with a dog
eyhzdC936uk_15_27@18,bir adam bira ile oynuyor,a man is playing with beer
eyhzdC936uk_15_27@20,bir erkek bir beşlik vermek için bir köpek eğitiyor,a man is training a dog to give a high five
eyhzdC936uk_15_27@21,bir adam oturmak ve pençelerini adamın ellerine dokunmak için bir köpek eğitiyor,a man is training a dog to sit and touch his paws to the man s hands
